team_key,team_display_name,team_short,city,seasons_in_sample
AFC Bournemouth,AFC Bournemouth,BOU,Bournemouth,7
Arsenal,Arsenal,ARS,London,10
Aston Villa,Aston Villa,AVL,Birmingham,7
Brentford,Brentford,BRE,London,3
Brighton,Brighton,BHA,Brighton,7
Burnley,Burnley,BUR,Burnley,8
Cardiff City,Cardiff City,CAR,Cardiff,1
Chelsea,Chelsea,CHE,London,10
Crystal Palace,Crystal Palace,CRY,London,10
Everton,Everton,EVE,Liverpool,10
Fulham,Fulham,FUL,London,4
Huddersfield,Huddersfield,HUD,Huddersfield,2
Hull City,Hull City,HUL,Hull,2
Leeds United,Leeds United,LEE,Leeds,3
Leicester City,Leicester City,LEI,Leicester,9
Liverpool,Liverpool,LIV,Liverpool,10
Luton Town,Luton Town,LUT,Luton,1
Manchester City,Manchester City,MCI,Manchester,10
Manchester United,Manchester United,MUN,Manchester,10
Middlesbrough,Middlesbrough,MID,Middlesbrough,1
Newcastle United,Newcastle United,NEW,Newcastle,9
Norwich City,Norwich City,NOR,Norwich,3
Nottingham Forest,Nottingham Forest,NFO,Nottingham,2
Queens Park Rangers,Queens Park Rangers,QPR,London,1
Sheffield United,Sheffield United,SHU,Sheffield,3
Southampton,Southampton,SOU,Southampton,9
Stoke City,Stoke City,STK,Stoke-on-Trent,4
Sunderland,Sunderland,SUN,Sunderland,3
Swansea City,Swansea City,SWA,Swansea,4
Tottenham,Tottenham,TOT,London,10
Watford,Watford,WAT,Watford,6
West Bromwich Albion,West Bromwich Albion,WBA,West Bromwich,5
West Ham United,West Ham United,WHU,London,10
Wolverhampton Wanderers,Wolverhampton Wanderers,WOL,Wolverhampton,6
