goal_id,match_key,season_key,scoring_team_key,minute,scoring_side,is_own_goal,player,running_home,running_away,running_diff,is_plus2_moment
84_10_home,84,2015-2016,Leicester City,10,home,False,Jamie Vardy,1,0,1,False
84_17_home,84,2015-2016,Leicester City,17,home,False,Riyad Mahrez,2,0,2,True
84_24_home,84,2015-2016,Leicester City,24,home,False,Riyad Mahrez,3,0,3,False
84_59_away,84,2015-2016,Sunderland,59,away,False,Jermain Defoe,3,1,2,False
84_65_home,84,2015-2016,Leicester City,65,home,False,Marc Albrighton,4,1,3,False
84_70_away,84,2015-2016,Sunderland,70,away,False,Steven Fletcher,4,2,2,False
85_38_away,85,2015-2016,Crystal Palace,38,away,False,Wilfried Zaha,0,1,-1,False
85_48_away,85,2015-2016,Crystal Palace,48,away,False,Damien Delaney,0,2,-2,True
85_68_home,85,2015-2016,Norwich City,68,home,False,Nathan Redmond,1,2,-1,False
85_93_away,85,2015-2016,Crystal Palace,93,away,False,Yohan Cabaye,1,3,-2,False
88_42_away,88,2015-2016,West Ham United,42,away,False,Cheikhou Kouyaté,0,1,-1,False
88_56_away,88,2015-2016,West Ham United,56,away,False,Mauro Zárate,0,2,-2,True
90_8_away,90,2015-2016,Manchester City,8,away,False,David Silva,0,1,-1,False
90_23_away,90,2015-2016,Manchester City,23,away,False,Yaya Touré,0,2,-2,True
90_58_away,90,2015-2016,Manchester City,58,away,False,Vincent Kompany,0,3,-3,False
92_21_away,92,2015-2016,Everton,21,away,False,Romelu Lukaku,0,1,-1,False
92_44_away,92,2015-2016,Everton,44,away,False,Romelu Lukaku,0,2,-2,True
92_83_away,92,2015-2016,Everton,83,away,False,Ross Barkley,0,3,-3,False
93_25_away,93,2015-2016,Norwich City,25,away,False,Russell Martin,0,1,-1,False
93_36_away,93,2015-2016,Norwich City,36,away,False,Steven Whittaker,0,2,-2,True
93_56_away,93,2015-2016,Norwich City,56,away,False,Nathan Redmond,0,3,-3,False
93_87_home,93,2015-2016,Sunderland,87,home,False,Duncan Watmore,1,3,-2,False
94_8_home,94,2015-2016,Swansea City,8,home,False,Bafétimbi Gomis,1,0,1,False
94_51_home,94,2015-2016,Swansea City,51,home,False,André Ayew,2,0,2,True
95_18_home,95,2015-2016,Tottenham,18,home,False,Eric Dier,1,0,1,False
95_46_home,95,2015-2016,Tottenham,46,home,False,Nacer Chadli,2,0,2,True
95_77_away,95,2015-2016,Stoke City,77,away,False,Marko Arnautovic,2,1,1,False
95_82_away,95,2015-2016,Stoke City,82,away,False,Mame Biram Diouf,2,2,0,False
97_26_away,97,2015-2016,Leicester City,26,away,False,Shinji Okazaki,0,1,-1,False
97_37_away,97,2015-2016,Leicester City,37,away,False,Riyad Mahrez,0,2,-2,True
97_54_home,97,2015-2016,West Ham United,54,home,False,Dimitri Payet,1,2,-1,False
99_31_home,99,2015-2016,Manchester City,31,home,False,Sergio Agüero,1,0,1,False
