event_id,match_key,season_key,leader_team_key,opponent_team_key,bucket_key,minute_reached_plus2,stoppage_flag,leader_is_home,score_at_event_leader,score_at_event_opponent,score_at_event_display,final_leader_goals,final_opponent_goals,result_for_leader,is_win,is_draw,is_loss,points_earned,points_dropped,leader_red_cards,opponent_red_cards,leader_prematch_win_odds,opponent_prematch_win_odds,draw_odds,leader_implied_prob,strength_tier
84_Leicester City,84,2015-2016,Leicester City,Sunderland,16-30,17,False,True,2,0,2-0,4,2,W,1,0,0,3,0,0,0,1.95,4.33,3.5,0.5128205128205129,Moderate
85_Crystal Palace,85,2015-2016,Crystal Palace,Norwich City,31-45+,48,False,False,2,0,2-0,3,1,W,1,0,0,3,0,0,0,3.0,2.55,3.3,0.3333333333333333,Underdog
88_West Ham United,88,2015-2016,West Ham United,Arsenal,46-60,56,False,False,2,0,2-0,2,0,W,1,0,0,3,0,0,0,12.0,1.29,6.0,0.0833333333333333,Underdog
90_Manchester City,90,2015-2016,Manchester City,West Bromwich Albion,16-30,23,False,False,2,0,2-0,3,0,W,1,0,0,3,0,0,0,1.67,5.75,4.0,0.5988023952095809,Moderate
92_Everton,92,2015-2016,Everton,Southampton,31-45+,44,False,False,2,0,2-0,3,0,W,1,0,0,3,0,0,0,4.33,1.95,3.6,0.23094688221709,Underdog
93_Norwich City,93,2015-2016,Norwich City,Sunderland,31-45+,36,False,False,2,0,2-0,3,1,W,1,0,0,3,0,0,0,3.1,2.5,3.3,0.3225806451612903,Underdog
94_Swansea City,94,2015-2016,Swansea City,Newcastle United,46-60,51,False,True,2,0,2-0,2,0,W,1,0,0,3,0,0,1,1.95,4.33,3.6,0.5128205128205129,Moderate
95_Tottenham,95,2015-2016,Tottenham,Stoke City,31-45+,46,False,True,2,0,2-0,2,2,D,0,1,0,1,2,0,0,1.8,5.0,3.75,0.5555555555555556,Moderate
97_Leicester City,97,2015-2016,Leicester City,West Ham United,31-45+,37,False,False,2,0,2-0,2,1,W,1,0,0,3,0,0,1,3.4,2.25,3.5,0.2941176470588235,Underdog
99_Manchester City,99,2015-2016,Manchester City,Chelsea,76-90+,78,False,True,2,0,2-0,3,0,W,1,0,0,3,0,0,0,2.1,3.75,3.5,0.4761904761904761,Moderate
106_AFC Bournemouth,106,2015-2016,AFC Bournemouth,West Ham United,16-30,27,False,False,2,0,2-0,4,3,W,1,0,0,3,0,0,1,3.2,2.38,3.4,0.3125,Underdog
107_Chelsea,107,2015-2016,Chelsea,West Bromwich Albion,16-30,29,False,False,2,0,2-0,3,2,W,1,0,0,3,0,1,0,1.62,6.5,4.0,0.6172839506172839,Moderate
108_Manchester City,108,2015-2016,Manchester City,Everton,76-90+,87,False,False,2,0,2-0,2,0,W,1,0,0,3,0,0,0,1.73,5.0,4.0,0.5780346820809249,Moderate
116_West Ham United,116,2015-2016,West Ham United,Liverpool,16-30,28,False,False,2,0,2-0,3,0,W,1,0,0,3,0,1,1,9.0,1.36,5.5,0.1111111111111111,Underdog
117_Manchester City,117,2015-2016,Manchester City,Watford,46-60,55,False,True,2,0,2-0,2,0,W,1,0,0,3,0,0,0,1.2,15.0,8.0,0.8333333333333334,Strong Favorite
119_Southampton,119,2015-2016,Southampton,Norwich City,61-75,63,False,True,2,0,2-0,3,0,W,1,0,0,3,0,0,1,2.05,4.0,3.5,0.4878048780487805,Moderate
121_Everton,121,2015-2016,Everton,Chelsea,16-30,21,False,True,2,0,2-0,3,1,W,1,0,0,3,0,0,0,4.0,2.0,3.6,0.25,Underdog
