team_key,n_as_leader,wins,draws,losses,win_rate,points_dropped,n_as_opponent,times_opponent_held
Manchester City,208,202,3,3,0.9712,15,34,5
Liverpool,168,157,9,2,0.9345,24,40,4
Arsenal,159,154,5,0,0.9686,10,60,8
Chelsea,138,134,4,0,0.971,8,61,7
Tottenham,136,130,5,1,0.9559,13,58,6
Manchester United,126,121,4,1,0.9603,11,64,11
Leicester City,97,93,3,1,0.9588,9,87,6
West Ham United,91,84,5,2,0.9231,16,107,10
Everton,75,68,5,2,0.9067,16,105,5
Newcastle United,70,66,3,1,0.9429,9,94,8
Southampton,69,60,6,3,0.8696,21,87,7
Crystal Palace,69,65,1,3,0.942,11,104,7
Aston Villa,60,53,3,4,0.8833,18,77,2
Brighton,48,44,3,1,0.9167,9,78,6
AFC Bournemouth,45,40,2,3,0.8889,13,98,8
Burnley,44,38,4,2,0.8636,14,90,2
Watford,44,41,1,2,0.9318,8,77,4
Wolverhampton Wanderers,36,34,1,1,0.9444,5,56,4
Brentford,27,26,1,0,0.963,2,29,2
Fulham,27,25,2,0,0.9259,4,53,2
Stoke City,27,23,4,0,0.8519,8,37,1
West Bromwich Albion,20,15,3,2,0.75,12,56,3
Swansea City,19,19,0,0,1.0,0,42,2
Leeds United,17,15,2,0,0.8824,4,38,3
Sunderland,16,14,1,1,0.875,5,39,1
Norwich City,14,12,1,1,0.8571,5,50,0
Nottingham Forest,12,9,1,2,0.75,8,23,0
Hull City,12,11,1,0,0.9167,2,29,0
Sheffield United,9,6,3,0,0.6667,6,41,1
Huddersfield,8,7,0,1,0.875,3,34,0
Cardiff City,5,5,0,0,1.0,0,17,0
Luton Town,4,2,1,1,0.5,5,17,1
Queens Park Rangers,4,4,0,0,1.0,0,14,1
Middlesbrough,3,3,0,0,1.0,0,11,0
