match_id,season,date,home_team,away_team,leader,leader_team,opponent_team,minute_reached_plus2,score_at_event_leader,score_at_event_opponent,final_home_goals,final_away_goals,final_leader_goals,final_opponent_goals,result_for_leader,leader_is_home,leader_team_norm,opponent_team_norm,leader_red_cards,opponent_red_cards,leader_prematch_win_odds,opponent_prematch_win_odds,draw_odds,leader_implied_prob,strength_tier
84,2015,2015-08-08,Leicester,Sunderland,home,Leicester,Sunderland,17,2,0,4,2,4,2,W,True,Leicester City,Sunderland,0.0,0.0,1.95,4.33,3.5,0.5128205128205129,Moderate
85,2015,2015-08-08,Norwich,Crystal Palace,away,Crystal Palace,Norwich,48,2,0,1,3,3,1,W,False,Crystal Palace,Norwich City,0.0,0.0,3.0,2.55,3.3,0.3333333333333333,Underdog
88,2015,2015-08-09,Arsenal,West Ham,away,West Ham,Arsenal,56,2,0,0,2,2,0,W,False,West Ham United,Arsenal,0.0,0.0,12.0,1.29,6.0,0.08333333333333333,Underdog
90,2015,2015-08-10,West Bromwich Albion,Manchester City,away,Manchester City,West Bromwich Albion,23,2,0,0,3,3,0,W,False,Manchester City,West Bromwich Albion,0.0,0.0,1.67,5.75,4.0,0.5988023952095809,Moderate
92,2015,2015-08-15,Southampton,Everton,away,Everton,Southampton,44,2,0,0,3,3,0,W,False,Everton,Southampton,0.0,0.0,4.33,1.95,3.6,0.23094688221709006,Underdog
93,2015,2015-08-15,Sunderland,Norwich,away,Norwich,Sunderland,36,2,0,1,3,3,1,W,False,Norwich City,Sunderland,0.0,0.0,3.1,2.5,3.3,0.3225806451612903,Underdog
94,2015,2015-08-15,Swansea,Newcastle United,home,Swansea,Newcastle United,51,2,0,2,0,2,0,W,True,Swansea City,Newcastle United,0.0,1.0,1.95,4.33,3.6,0.5128205128205129,Moderate
95,2015,2015-08-15,Tottenham,Stoke,home,Tottenham,Stoke,46,2,0,2,2,2,2,D,True,Tottenham,Stoke City,0.0,0.0,1.8,5.0,3.75,0.5555555555555556,Moderate
97,2015,2015-08-15,West Ham,Leicester,away,Leicester,West Ham,37,2,0,1,2,2,1,W,False,Leicester City,West Ham United,0.0,1.0,3.4,2.25,3.5,0.29411764705882354,Underdog
99,2015,2015-08-16,Manchester City,Chelsea,home,Manchester City,Chelsea,78,2,0,3,0,3,0,W,True,Manchester City,Chelsea,0.0,0.0,2.1,3.75,3.5,0.47619047619047616,Moderate
106,2015,2015-08-22,West Ham,Bournemouth,away,Bournemouth,West Ham,27,2,0,3,4,4,3,W,False,AFC Bournemouth,West Ham United,0.0,1.0,3.2,2.38,3.4,0.3125,Underdog
107,2015,2015-08-23,West Bromwich Albion,Chelsea,away,Chelsea,West Bromwich Albion,29,2,0,2,3,3,2,W,False,Chelsea,West Bromwich Albion,1.0,0.0,1.62,6.5,4.0,0.6172839506172839,Moderate
108,2015,2015-08-23,Everton,Manchester City,away,Manchester City,Everton,87,2,0,0,2,2,0,W,False,Manchester City,Everton,0.0,0.0,1.73,5.0,4.0,0.5780346820809249,Moderate
116,2015,2015-08-29,Liverpool,West Ham,away,West Ham,Liverpool,28,2,0,0,3,3,0,W,False,West Ham United,Liverpool,1.0,1.0,9.0,1.36,5.5,0.1111111111111111,Underdog
117,2015,2015-08-29,Manchester City,Watford,home,Manchester City,Watford,55,2,0,2,0,2,0,W,True,Manchester City,Watford,0.0,0.0,1.2,15.0,8.0,0.8333333333333334,Strong Favorite
119,2015,2015-08-30,Southampton,Norwich,home,Southampton,Norwich,63,2,0,3,0,3,0,W,True,Southampton,Norwich City,0.0,1.0,2.05,4.0,3.5,0.48780487804878053,Moderate
121,2015,2015-09-12,Everton,Chelsea,home,Everton,Chelsea,21,2,0,3,1,3,1,W,True,Everton,Chelsea,0.0,0.0,4.0,2.0,3.6,0.25,Underdog
122,2015,2015-09-12,Arsenal,Stoke,home,Arsenal,Stoke,84,2,0,2,0,2,0,W,True,Arsenal,Stoke City,0.0,0.0,1.29,12.0,6.0,0.7751937984496123,Strong Favorite
126,2015,2015-09-12,Norwich,Bournemouth,home,Norwich,Bournemouth,51,2,0,3,1,3,1,W,True,Norwich City,AFC Bournemouth,0.0,0.0,2.4,3.2,3.4,0.4166666666666667,Underdog
127,2015,2015-09-12,Manchester United,Liverpool,home,Manchester United,Liverpool,69,2,0,3,1,3,1,W,True,Manchester United,Liverpool,0.0,0.0,2.0,4.33,3.4,0.5,Moderate
129,2015,2015-09-13,Leicester,Aston Villa,away,Aston Villa,Leicester,62,2,0,3,2,2,3,L,False,Aston Villa,Leicester City,0.0,0.0,4.33,1.91,3.75,0.23094688221709006,Underdog
130,2015,2015-09-14,West Ham,Newcastle United,home,West Ham,Newcastle United,47,2,0,2,0,2,0,W,True,West Ham United,Newcastle United,0.0,0.0,2.25,3.4,3.5,0.4444444444444444,Moderate
131,2015,2015-09-19,Chelsea,Arsenal,home,Chelsea,Arsenal,90,2,0,2,0,2,0,W,True,Chelsea,Arsenal,0.0,2.0,2.45,3.0,3.5,0.4081632653061224,Underdog
132,2015,2015-09-19,Newcastle United,Watford,away,Watford,Newcastle United,27,2,0,1,2,2,1,W,False,Watford,Newcastle United,0.0,0.0,3.1,2.5,3.3,0.3225806451612903,Underdog
