match_id,season,date,home_team,away_team,leader,leader_team,opponent_team,minute_reached_plus2,score_at_event_leader,score_at_event_opponent,final_home_goals,final_away_goals,final_leader_goals,final_opponent_goals,result_for_leader,leader_is_home
84,2015,2015-08-08,Leicester,Sunderland,home,Leicester,Sunderland,17,2,0,4,2,4,2,W,True
85,2015,2015-08-08,Norwich,Crystal Palace,away,Crystal Palace,Norwich,48,2,0,1,3,3,1,W,False
88,2015,2015-08-09,Arsenal,West Ham,away,West Ham,Arsenal,56,2,0,0,2,2,0,W,False
90,2015,2015-08-10,West Bromwich Albion,Manchester City,away,Manchester City,West Bromwich Albion,23,2,0,0,3,3,0,W,False
92,2015,2015-08-15,Southampton,Everton,away,Everton,Southampton,44,2,0,0,3,3,0,W,False
93,2015,2015-08-15,Sunderland,Norwich,away,Norwich,Sunderland,36,2,0,1,3,3,1,W,False
94,2015,2015-08-15,Swansea,Newcastle United,home,Swansea,Newcastle United,51,2,0,2,0,2,0,W,True
95,2015,2015-08-15,Tottenham,Stoke,home,Tottenham,Stoke,46,2,0,2,2,2,2,D,True
97,2015,2015-08-15,West Ham,Leicester,away,Leicester,West Ham,37,2,0,1,2,2,1,W,False
99,2015,2015-08-16,Manchester City,Chelsea,home,Manchester City,Chelsea,78,2,0,3,0,3,0,W,True
106,2015,2015-08-22,West Ham,Bournemouth,away,Bournemouth,West Ham,27,2,0,3,4,4,3,W,False
107,2015,2015-08-23,West Bromwich Albion,Chelsea,away,Chelsea,West Bromwich Albion,29,2,0,2,3,3,2,W,False
108,2015,2015-08-23,Everton,Manchester City,away,Manchester City,Everton,87,2,0,0,2,2,0,W,False
116,2015,2015-08-29,Liverpool,West Ham,away,West Ham,Liverpool,28,2,0,0,3,3,0,W,False
117,2015,2015-08-29,Manchester City,Watford,home,Manchester City,Watford,55,2,0,2,0,2,0,W,True
119,2015,2015-08-30,Southampton,Norwich,home,Southampton,Norwich,63,2,0,3,0,3,0,W,True
121,2015,2015-09-12,Everton,Chelsea,home,Everton,Chelsea,21,2,0,3,1,3,1,W,True
122,2015,2015-09-12,Arsenal,Stoke,home,Arsenal,Stoke,84,2,0,2,0,2,0,W,True
